osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
6063643930,,Jawason Service Station,,Githiga,,,,,Githunguri-Githiga Road,fuel,,,
6063644183,,Katra Service Station,,Githunguri,,,,,Moi Road,fuel,,,
6063644184,,Penko Petro Station,,Githunguri,,,,,Kiambu Road,fuel,,,
6063644317,,Shell,,Githunguri,,,,,Kiambu Road,fuel,,,
6063644328,,Petrocam,,Githunguri,,,,,Kiambu Road,fuel,,,
6063644329,,Aspam Petro Station,,Githunguri,,,,,Kiambu Road,fuel,,,
6063670827,,Kenol Petrol Station,,Githunguri,,,,,Githunguri-Githiga Road,fuel,,,
6066167494,,Kobil Petrol Station,,Narok,,,,,Kaplong-Narok-Maai Road,fuel,,,
6072761404,,National Oil Corporation-Star Lubricants,,Likoni,,,,,Likoni-Ukunda Road,fuel,,,
6072960935,,Mack Petrol Station,,Mombasa,,,,,Likoni-Ukunda Road,fuel,,,
6072960936,,Mabruk Fuelling point,,Mombasa,,,,,Likoni-Ukunda Road,fuel,,,
6072960937,,Sura Fuel Seller,,Mombasa,,,,,Likoni-Ukunda Road,fuel,,,
6072960939,,Transoil Mrima Filling Station,,Mombasa,,,,,Likoni-Ukunda Road,fuel,,,
6072960948,,Shell Filling station,,Mombasa,,,,,Likoni-Ukunda Road,fuel,,,
